Data/Hora,RMS,Peak,Clipping,Clipping_pct,SNR,Diagnóstico,Participantes
2026-05-25 08:54:33,0.0047,0.0575,0,0.0000,6.60,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:54:35,0.0154,0.1600,0,0.0000,34.83,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:54:37,0.0208,0.1860,0,0.0000,39.57,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:54:40,0.0058,0.0623,0,0.0000,35.67,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:54:42,0.0260,0.1865,0,0.0000,40.40,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:54:44,0.0104,0.1196,0,0.0000,24.07,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:54:47,0.0234,0.1796,0,0.0000,38.32,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:54:49,0.0180,0.1927,0,0.0000,16.48,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:54:52,0.0109,0.0808,0,0.0000,40.56,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:54:54,0.0139,0.1097,0,0.0000,34.25,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:54:56,0.0055,0.0553,0,0.0000,32.29,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:54:59,0.0001,0.0005,0,0.0000,-2.17,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:55:01,0.0204,0.1901,0,0.0000,21.83,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:03,0.0117,0.1015,0,0.0000,37.86,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:06,0.0148,0.1372,0,0.0000,37.67,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:08,0.0146,0.1077,0,0.0000,29.26,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:10,0.0238,0.1702,0,0.0000,38.82,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:13,0.0046,0.0430,0,0.0000,35.80,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:55:15,0.0359,0.1865,0,0.0000,15.59,Baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:18,0.0109,0.1856,0,0.0000,9.80,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:20,0.0380,0.1800,0,0.0000,25.74,Baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:22,0.0075,0.0550,0,0.0000,36.60,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:55:25,0.0260,0.1866,0,0.0000,46.81,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:27,0.0236,0.1856,0,0.0000,43.45,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:29,0.0118,0.0929,0,0.0000,41.32,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:32,0.0015,0.0141,0,0.0000,19.65,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:55:34,0.0245,0.1633,0,0.0000,40.78,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:36,0.0216,0.1768,0,0.0000,29.47,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:39,0.0074,0.0637,0,0.0000,33.18,Muito baixo (Silêncio),Also invited 1; Sala Up
2026-05-25 08:55:41,0.0136,0.1060,0,0.0000,22.29,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:43,0.0254,0.1874,0,0.0000,21.45,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:46,0.0189,0.1653,0,0.0000,21.58,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:48,0.0261,0.1876,0,0.0000,26.57,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:50,0.0188,0.1826,0,0.0000,32.22,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:53,0.0392,0.1876,0,0.0000,41.13,Baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:55,0.0322,0.1884,0,0.0000,36.90,Baixo (Ruído baixo/OK),Also invited 1; Sala Up
2026-05-25 08:55:58,0.0170,0.1859,0,0.0000,38.13,Muito baixo (Ruído baixo/OK),Also invited 1; Sala Up
